"id. Response_ID","submitdate. Date_submitted","lastpage. Last_page","startlanguage. Start_language","seed. Seed","Q00. Do_you_agree_to.._","G03Q32. How_trustworthy.._","G03Q15. How_credible_do.._","G03Q31. Would_you_feel_.._","G03Q32Copy. How_trustworthy.._","G03Q17. How_credible_do.._","G03Q31Copy. Would_you_feel_.._","G03Q32CopyCopyCopy. How_trustworthy.._","G03Q27. How_credible_do.._","G03Q28. Would_you_feel_.._","G03Q32C. How_trustworthy.._","G03Q29. How_credible_do.._","G03Q30. Would_you_feel_.._","G03Q19. How_credible_do.._","G03Q32CCopyCopy. How_trustworthy.._","G03Q20. Would_you_feel_.._","r154q0. How_credible_do.._","r563q0. How_trustworthy.._","r693q0. Would_you_feel_.._","G03Q32CopyCopy. How_trustworthy.._","G03Q21. How_credible_do.._","G03Q31CC. Would_you_feel_.._","G03Q32CC. How_trustworthy.._","G03Q23. How_credible_do.._","G03Q24. Would_you_feel_.._","r479q0. How_credible_do.._","r733q0. How_trustworthy.._","r328q0. Would_you_feel_.._","G03Q25CopyCopy. How_credible_do.._","G03Q32CCCCopy. How_trustworthy.._","G03Q24C. Would_you_feel_.._","G03Q32CCopy. How_trustworthy.._","G03Qcopy. How_credible_do.._","G03Q30Copy. Would_you_feel_.._","r938q0. How_credible_do.._","r259q0. How_trustworthy.._","r882q0. Would_you_feel_.._","G03Q16. Do_you_believe_.._","r895q0. Do_you_believe_.._","r928q0. Do_you_believe_.._","r778q0. Do_you_believe_.._","r781q0. Do_you_believe_.._","r213q0. Do_you_believe_.._","r198q0. Do_you_believe_.._","r857q0. Do_you_believe_.._","r78q0. Do_you_believe_.._","r572q0. Do_you_believe_.._","r877q0. Do_you_believe_.._","r91q0. Do_you_believe_.._","G02Q02_SQ001. What_is_your_fa..__[Faculty_of_Phil.._]","G02Q02_SQ002. What_is_your_fa..__[Faculty_of_Arts]","G02Q02_SQ003. What_is_your_fa..__[School_of_Manag.._]","G02Q02_SQ004. What_is_your_fa..__[Faculty_of_Medi.._]","G02Q02_SQ005. What_is_your_fa..__[Faculty_of_Science]","G02Q02_SQ006. What_is_your_fa..__[Faculty_of_Law]","G02Q02_SQ007. What_is_your_fa..__[Faculty_of_Soci.._]","G02Q03. How_familiar_ar.._","G01Q04. How_often_do_yo.._","G01Q05. How_often_do_yo.._","G02Q06. How_much_do_you.._","G02Q07. How_much_do_you.._","G01Q08. How_often_do_yo.._","G02Q09.  __How_accurate.._","G02Q10. Have_you_ever_e.._","G01Q11. Regarding_the_q.._","G01Q12. Have_you_ever_e.._","G01Q13. Regarding_the_q.._","G02Q14. Is_there_anythi.._"
"1","1980-01-01 00:00:00","26","en","1946501317","Yes","2","2","1","5","4","5","3","3","2","5","5","4","3","4","3","5","5","5","4","4","4","5","5","5","5","5","5","5","5","5","4","5","4","5","5","5","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","Yes","4","Often","Sometimes","5","2","Sometimes","2","No","","Yes","When I aksed it to solve a maths problem for me, it gave me the wrong solution. ",""
"2","1980-01-01 00:00:00","26","en","1423714491","Yes","5","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","No","N/A","Yes","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Yes","No","No","No","No","No","Yes","5","Always","Sometimes","5","2","Rarely","2","No","","Yes","","i have filled in 3's for every question because i cannot judge whether it's ai generated or not. if it is, i would not trust it. so 3 is in the middle. in real life, you would never have an isolated text right"
"3","1980-01-01 00:00:00","26","en","1811869612","Yes","2","3","2","4","4","4","3","3","2","4","4","4","3","3","3","2","2","2","4","3","3","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","Yes","No","Yes","No","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","Yes","4","Often","Rarely","5","2","Often","2","No","no i have not found non trivial errors","Yes","a lot of things were wrong or incomplete",""
"4","1980-01-01 00:00:00","26","en","315743475","Yes","1","1","1","4","4","3","3","3","3","4","4","4","5","5","5","5","5","5","3","3","3","4","3","3","5","5","5","4","4","4","3","3","3","5","5","5","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","No","No","Yes","5","Sometimes","Sometimes","5","3","Sometimes","3","No","","Yes","yes, straight up lies sometimes",""
"5","1980-01-01 00:00:00","26","en","1031797060","Yes","3","4","2","5","5","5","3","4","2","4","4","3","5","4","2","4","3","2","5","5","5","5","5","4","5","5","4","5","4","3","4","4","4","5","5","5","No","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","4","Often","Sometimes","5","3","Sometimes","3","No","I have not, apart from some small errors in a textbook for example.","Yes","Yes, very often. I feel like usually I know when it's wrong but I doubt that's the case. The other day I was working on an assignment, too tired to focus myself, but ChatGPT answered approximately 70 percent wrong and its answers aren't consistent.","Nope, good luck with your study!"
"6","1980-01-01 00:00:00","26","en","728150163","Yes","4","4","3","4","4","4","5","5","4","3","4","3","3","3","3","2","3","2","4","4","4","3","3","2","4","4","3","4","4","2","4","4","2","4","4","2","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","4","Often","Often","5","3","Sometimes","4","No","","Yes","",""
"7","1980-01-01 00:00:00","26","en","1124481705","Yes","4","4","4","4","4","5","2","1","2","2","2","3","5","4","4","3","4","4","4","4","4","5","4","5","4","4","4","3","4","4","4","4","5","3","3","2","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes","5","Sometimes","Often","5","4","Sometimes","4","No","","Yes","I find it often makes up fake information and when correcting it it just agrees with me even if my 'correcting' was wrong",""
"8","1980-01-01 00:00:00","26","en","1397954736","Yes","5","4","3","5","5","3","5","4","2","4","4","2","3","2","2","4","4","2","2","2","2","5","4","2","4","4","2","5","4","2","5","4","2","4","3","2","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","5","Always","Rarely","4","3","Often","3","Yes","I have nothing to add","Yes","I have nothing to add","I have nothing to add"
"9","1980-01-01 00:00:00","26","en","1691670647","Yes","4","4","5","4","4","4","3","3","4","5","4","5","3","2","3","3","4","3","2","2","2","3","3","3","4","3","3","4","4","4","3","2","3","4","4","4","Yes","Yes","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","Yes","4","Always","Rarely","4","2","Always","1","No","","Yes","Incorrect answers to mathematical and programming questions",""
"10","1980-01-01 00:00:00","26","en","337712456","Yes","4","4","3","2","2","1","4","5","4","5","5","5","4","4","3","5","4","5","2","3","3","5","5","5","4","4","3","5","5","4","4","5","5","5","5","5","Yes","Yes","No","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","5","Never","Always","5","5","Never","5","No","","Yes","Once ChatGPT couldn't seem to do mathematics correctly, which was concerning as it is an AI and should be able to do it easily",""
