participant_id,text_number,background_first,g01q04,g01q05,g01q08,g01q11,g01q12,g01q13,g02q02_sq001,g02q02_sq002,g02q02_sq003,g02q02_sq004,g02q02_sq005,g02q02_sq006._what_is_your_fa..__[faculty_of_law],g02q02_sq007,g02q03,g02q06,g02q07,g02q09._ __how_accurate.._,g02q10,g02q14,lastpage,survey_number,sv1a_t10_belief,sv1a_t11_belief,sv1a_t12_belief,sv1a_t1_belief,sv1a_t2_belief,sv1a_t3_belief,sv1a_t4_belief,sv1a_t5_belief,sv1a_t6_belief,sv1a_t7_belief,sv1a_t8_belief,sv1a_t9_belief,trustworthy,credible,confident,belief,ai_generated,g02q02_sq006,sv2a_t10_belief,sv2a_t11_belief,sv2a_t12_belief,sv2a_t1_belief,sv2a_t2_belief,sv2a_t3_belief,sv2a_t4_belief,sv2a_t5_belief,sv2a_t6_belief,sv2a_t7_belief,sv2a_t8_belief,sv2a_t9_belief
3_1a,1_1a,True,Often,Often,Often,,No,,No,No,Yes,No,No,No,No,4.0,5.0,4.0,4.0,No,,26.0,1,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,3.0,3.0,3.0,True,False,,,,,,,,,,,,,
4_1a,1_1a,True,Sometimes,Often,Always,"I don't believe so, usually the traditional academic sources are provided by the university so it never seems to be misleading or incorrect from my experience",Yes,"As a computer science student, I have often provided questions about my code not working and it doesn't seem to be able to fix it or even point out where the mistakes are. Also with many mathematical questions, it sometimes fails to provide the correct answer.",No,No,No,No,Yes,No,No,5.0,4.0,3.0,3.0,No,,26.0,1,,Yes,No,No,Yes,Yes,No,No,,No,Yes,No,4.0,4.0,4.0,True,False,,,,,,,,,,,,,
6_1a,1_1a,True,Often,Always,Always,Traditional academic sources tend to have citations from where they can back up their claims which can be checked. Majority of paper go through a thorough checking process too,Yes,"It suffers from hallucinations, where it forgets the information it learnt from, and its black box nature doesn't quite make it feel like I should always trust it
",No,No,No,No,Yes,No,No,5.0,5.0,3.0,4.0,No,,26.0,1,,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,5.0,5.0,2.0,True,False,,,,,,,,,,,,,
8_1a,1_1a,True,Rarely,Often,Always,,No,,No,No,No,No,No,Yes,No,4.0,5.0,5.0,4.0,No,,26.0,1,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,3.0,5.0,1.0,True,False,,,,,,,,,,,,,
9_1a,1_1a,True,Sometimes,Often,Often,,Yes,"Chat gpt says one thing but then will change their mind after, can't seem to acknowledge properly when it's wrong ",No,No,No,No,Yes,No,No,5.0,5.0,3.0,4.0,No,,26.0,1,,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,3.0,3.0,2.0,True,False,,,,,,,,,,,,,
10_1a,1_1a,True,Rarely,Always,Rarely,,Yes,,No,No,Yes,No,No,No,No,5.0,4.0,3.0,3.0,No,,26.0,1,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,3.0,3.0,1.0,True,False,,,,,,,,,,,,,
12_1a,1_1a,True,Always,Always,Sometimes,,Yes,,No,No,No,No,No,No,Yes,5.0,5.0,4.0,2.0,No,,26.0,1,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,3.0,3.0,3.0,True,False,,,,,,,,,,,,,
16_1a,1_1a,True,Often,Always,Often,,Yes,,No,No,No,No,No,No,Yes,5.0,5.0,3.0,5.0,Yes,,26.0,1,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,5.0,4.0,5.0,True,False,,,,,,,,,,,,,
17_1a,1_1a,True,Sometimes,Always,Sometimes,I can't think of a certain instance,Yes,I can't think of a certain instance,No,No,No,No,No,No,Yes,5.0,5.0,4.0,4.0,No,No.,26.0,1,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,5.0,4.0,3.0,True,False,,,,,,,,,,,,,
18_1a,1_1a,True,Often,Often,Often,,Yes,,No,No,No,No,Yes,No,No,5.0,5.0,2.0,4.0,No,,26.0,1,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,5.0,5.0,5.0,True,False,,,,,,,,,,,,,
